country,continent,year,gdpPercap
Afghanistan,Asia,1952,779.4453145
Afghanistan,Asia,1957,820.8530296
Afghanistan,Asia,1962,853.10071
Afghanistan,Asia,1967,836.1971382
Afghanistan,Asia,1972,739.9811058
Afghanistan,Asia,1977,786.11336
Afghanistan,Asia,1982,978.0114388
Afghanistan,Asia,1987,852.3959448
Afghanistan,Asia,1992,649.3413952
Afghanistan,Asia,1997,635.341351
Afghanistan,Asia,2002,726.7340548
Afghanistan,Asia,2007,974.5803384
Albania,Europe,1952,1601.056136
Albania,Europe,1957,1942.284244
Albania,Europe,1962,2312.888958
Albania,Europe,1967,2760.196931
Albania,Europe,1972,3313.422188
Albania,Europe,1977,3533.00391
Albania,Europe,1982,3630.880722
Albania,Europe,1987,3738.932735
Albania,Europe,1992,2497.437901
Albania,Europe,1997,3193.054604
Albania,Europe,2002,4604.211737
Albania,Europe,2007,5937.029526
Algeria,Africa,1952,2449.008185
Algeria,Africa,1957,3013.976023
Algeria,Africa,1962,2550.81688
Algeria,Africa,1967,3246.991771
Algeria,Africa,1972,4182.663766
Algeria,Africa,1977,4910.416756
Algeria,Africa,1982,5745.160213
Algeria,Africa,1987,5681.358539
Algeria,Africa,1992,5023.216647
Algeria,Africa,1997,4797.295051
Algeria,Africa,2002,5288.040382
Algeria,Africa,2007,6223.367465
Angola,Africa,1952,3520.610273
Angola,Africa,1957,3827.940465
Angola,Africa,1962,4269.276742
Angola,Africa,1967,5522.776375
Angola,Africa,1972,5473.288005
Angola,Africa,1977,3008.647355
Angola,Africa,1982,2756.953672
Angola,Africa,1987,2430.208311
Angola,Africa,1992,2627.845685
Angola,Africa,1997,2277.140884
Angola,Africa,2002,2773.287312
Angola,Africa,2007,4797.231267
Argentina,Americas,1952,5911.315053
Argentina,Americas,1957,6856.856212
Argentina,Americas,1962,7133.166023
Argentina,Americas,1967,8052.953021
Argentina,Americas,1972,9443.038526
Argentina,Americas,1977,10079.02674
Argentina,Americas,1982,8997.897412
Argentina,Americas,1987,9139.671389
Argentina,Americas,1992,9308.41871
Argentina,Americas,1997,10967.28195
Argentina,Americas,2002,8797.640716
Argentina,Americas,2007,12779.37964
Australia,Oceania,1952,10039.59564
Australia,Oceania,1957,10949.64959
Australia,Oceania,1962,12217.22686
Australia,Oceania,1967,14526.12465
Australia,Oceania,1972,16788.62948
Australia,Oceania,1977,18334.19751
Australia,Oceania,1982,19477.00928
Australia,Oceania,1987,21888.88903
Australia,Oceania,1992,23424.76683
Australia,Oceania,1997,26997.93657
Australia,Oceania,2002,30687.75473
Australia,Oceania,2007,34435.36744
Austria,Europe,1952,6137.076492
Austria,Europe,1957,8842.59803
Austria,Europe,1962,10750.72111
Austria,Europe,1967,12834.6024
Austria,Europe,1972,16661.6256
Austria,Europe,1977,19749.4223
Austria,Europe,1982,21597.08362
Austria,Europe,1987,23687.82607
Austria,Europe,1992,27042.01868
Austria,Europe,1997,29095.92066
Austria,Europe,2002,32417.60769
Austria,Europe,2007,36126.4927
Bahrain,Asia,1952,9867.084765
Bahrain,Asia,1957,11635.79945
Bahrain,Asia,1962,12753.27514
Bahrain,Asia,1967,14804.6727
Bahrain,Asia,1972,18268.65839
Bahrain,Asia,1977,19340.10196
Bahrain,Asia,1982,19211.14731
Bahrain,Asia,1987,18524.02406
Bahrain,Asia,1992,19035.57917
Bahrain,Asia,1997,20292.01679
Bahrain,Asia,2002,23403.55927
Bahrain,Asia,2007,29796.04834
Bangladesh,Asia,1952,684.2441716
Bangladesh,Asia,1957,661.6374577
Bangladesh,Asia,1962,686.3415538
Bangladesh,Asia,1967,721.1860862
Bangladesh,Asia,1972,630.2336265
Bangladesh,Asia,1977,659.8772322
Bangladesh,Asia,1982,676.9818656
Bangladesh,Asia,1987,751.9794035
Bangladesh,Asia,1992,837.8101643
Bangladesh,Asia,1997,972.7700352
Bangladesh,Asia,2002,1136.39043
Bangladesh,Asia,2007,1391.253792
Belgium,Europe,1952,8343.105127
Belgium,Europe,1957,9714.960623
Belgium,Europe,1962,10991.20676
Belgium,Europe,1967,13149.04119
Belgium,Europe,1972,16672.14356
Belgium,Europe,1977,19117.97448
Belgium,Europe,1982,20979.84589
Belgium,Europe,1987,22525.56308
Belgium,Europe,1992,25575.57069
Belgium,Europe,1997,27561.19663
Belgium,Europe,2002,30485.88375
Belgium,Europe,2007,33692.60508
