country,continent,year,pop
Afghanistan,Asia,1952,8425333
Afghanistan,Asia,1957,9240934
Afghanistan,Asia,1962,10267083
Afghanistan,Asia,1967,11537966
Afghanistan,Asia,1972,13079460
Afghanistan,Asia,1977,14880372
Afghanistan,Asia,1982,12881816
Afghanistan,Asia,1987,13867957
Afghanistan,Asia,1992,16317921
Afghanistan,Asia,1997,22227415
Afghanistan,Asia,2002,25268405
Afghanistan,Asia,2007,31889923
Albania,Europe,1952,1282697
Albania,Europe,1957,1476505
Albania,Europe,1962,1728137
Albania,Europe,1967,1984060
Albania,Europe,1972,2263554
Albania,Europe,1977,2509048
Albania,Europe,1982,2780097
Albania,Europe,1987,3075321
Albania,Europe,1992,3326498
Albania,Europe,1997,3428038
Albania,Europe,2002,3508512
Albania,Europe,2007,3600523
Algeria,Africa,1952,9279525
Algeria,Africa,1957,10270856
Algeria,Africa,1962,11000948
Algeria,Africa,1967,12760499
Algeria,Africa,1972,14760787
Algeria,Africa,1977,17152804
Algeria,Africa,1982,20033753
Algeria,Africa,1987,23254956
Algeria,Africa,1992,26298373
Algeria,Africa,1997,29072015
Algeria,Africa,2002,31287142
Algeria,Africa,2007,33333216
Angola,Africa,1952,4232095
Angola,Africa,1957,4561361
Angola,Africa,1962,4826015
Angola,Africa,1967,5247469
Angola,Africa,1972,5894858
Angola,Africa,1977,6162675
Angola,Africa,1982,7016384
Angola,Africa,1987,7874230
Angola,Africa,1992,8735988
Angola,Africa,1997,9875024
Angola,Africa,2002,10866106
Angola,Africa,2007,12420476
Argentina,Americas,1952,17876956
Argentina,Americas,1957,19610538
Argentina,Americas,1962,21283783
Argentina,Americas,1967,22934225
Argentina,Americas,1972,24779799
Argentina,Americas,1977,26983828
Argentina,Americas,1982,29341374
Argentina,Americas,1987,31620918
Argentina,Americas,1992,33958947
Argentina,Americas,1997,36203463
Argentina,Americas,2002,38331121
Argentina,Americas,2007,40301927
Australia,Oceania,1952,8691212
Australia,Oceania,1957,9712569
Australia,Oceania,1962,10794968
Australia,Oceania,1967,11872264
Australia,Oceania,1972,13177000
Australia,Oceania,1977,14074100
Australia,Oceania,1982,15184200
Australia,Oceania,1987,16257249
Australia,Oceania,1992,17481977
Australia,Oceania,1997,18565243
Australia,Oceania,2002,19546792
Australia,Oceania,2007,20434176
Austria,Europe,1952,6927772
Austria,Europe,1957,6965860
Austria,Europe,1962,7129864
Austria,Europe,1967,7376998
Austria,Europe,1972,7544201
Austria,Europe,1977,7568430
Austria,Europe,1982,7574613
Austria,Europe,1987,7578903
Austria,Europe,1992,7914969
Austria,Europe,1997,8069876
Austria,Europe,2002,8148312
Austria,Europe,2007,8199783
Bahrain,Asia,1952,120447
Bahrain,Asia,1957,138655
Bahrain,Asia,1962,171863
Bahrain,Asia,1967,202182
Bahrain,Asia,1972,230800
Bahrain,Asia,1977,297410
Bahrain,Asia,1982,377967
Bahrain,Asia,1987,454612
Bahrain,Asia,1992,529491
Bahrain,Asia,1997,598561
Bahrain,Asia,2002,656397
Bahrain,Asia,2007,708573
Bangladesh,Asia,1952,46886859
Bangladesh,Asia,1957,51365468
Bangladesh,Asia,1962,56839289
Bangladesh,Asia,1967,62821884
Bangladesh,Asia,1972,70759295
Bangladesh,Asia,1977,80428306
Bangladesh,Asia,1982,93074406
Bangladesh,Asia,1987,103764241
Bangladesh,Asia,1992,113704579
Bangladesh,Asia,1997,123315288
Bangladesh,Asia,2002,135656790
Bangladesh,Asia,2007,150448339
Belgium,Europe,1952,8730405
Belgium,Europe,1957,8989111
Belgium,Europe,1962,9218400
Belgium,Europe,1967,9556500
Belgium,Europe,1972,9709100
Belgium,Europe,1977,9821800
Belgium,Europe,1982,9856303
Belgium,Europe,1987,9870200
Belgium,Europe,1992,10045622
Belgium,Europe,1997,10199787
Belgium,Europe,2002,10311970
Belgium,Europe,2007,10392226
Benin,Africa,1952,1738315
Benin,Africa,1957,1925173
Benin,Africa,1962,2151895
Benin,Africa,1967,2427334
Benin,Africa,1972,2761407
Benin,Africa,1977,3168267
Benin,Africa,1982,3641603
Benin,Africa,1987,4243788
Benin,Africa,1992,4981671
Benin,Africa,1997,6066080
Benin,Africa,2002,7026113
Benin,Africa,2007,8078314
Bolivia,Americas,1952,2883315
Bolivia,Americas,1957,3211738
Bolivia,Americas,1962,3593918
Bolivia,Americas,1967,4040665
Bolivia,Americas,1972,4565872
Bolivia,Americas,1977,5079716
Bolivia,Americas,1982,5642224
Bolivia,Americas,1987,6156369
Bolivia,Americas,1992,6893451
Bolivia,Americas,1997,7693188
Bolivia,Americas,2002,8445134
Bolivia,Americas,2007,9119152
Bosnia and Herzegovina,Europe,1952,2791000
Bosnia and Herzegovina,Europe,1957,3076000
Bosnia and Herzegovina,Europe,1962,3349000
Bosnia and Herzegovina,Europe,1967,3585000
Bosnia and Herzegovina,Europe,1972,3819000
Bosnia and Herzegovina,Europe,1977,4086000
Bosnia and Herzegovina,Europe,1982,4172693
Bosnia and Herzegovina,Europe,1987,4338977
Bosnia and Herzegovina,Europe,1992,4256013
Bosnia and Herzegovina,Europe,1997,3607000
