"","x"
"1",1492.15022010034
"2",1480.84198415378
"3",1496.25323549268
"4",1480.5021483619
"5",1509.68702391845
"6",1502.54970193563
"7",1490.55251604212
"8",1515.10883259155
"9",1476.38653028966
"10",1511.11895850197
"11",1492.33577471807
"12",1536.49133098675
"13",1498.19273636104
"14",1489.72343562081
"15",1494.72355344203
"16",1507.79264473563
"17",1506.34667949485
"18",1517.85960059538
"19",1502.83942334532
"20",1496.49397476711
"21",1491.76832475623
"22",1493.7021239842
"23",1488.63102261559
"24",1508.14563827516
"25",1501.99262348191
"26",1499.97576862921
"27",1506.6211705602
"28",1483.29916418
"29",1493.61691171414
"30",1506.05723181961
"31",1466.24826389853
"32",1530.21324909078
"33",1477.40820149988
"34",1503.06190413837
"35",1504.41850264431
"36",1481.69651732117
"37",1478.61274582527
"38",1485.28959786628
"39",1522.24457592084
"40",1520.79042712288
"41",1496.17757122265
"42",1492.79219159966
"43",1504.30786146333
"44",1507.84470527363
"45",1494.77752747732
"46",1494.1907961199
"47",1531.06963468551
"48",1506.65538334679
"49",1518.20502676598
"50",1479.1404142382
"51",1484.47325476342
"52",1516.57893586379
"53",1492.32700436985
"54",1493.47663960368
"55",1516.1834044496
"56",1468.85448058565
"57",1504.92520902112
"58",1492.80901597594
"59",1494.44719474296
"60",1482.90685374345
"61",1496.22361515592
"62",1501.49341226948
"63",1535.99283827676
"64",1480.51179332204
"65",1492.20425043718
"66",1497.34443482214
"67",1499.71545558006
"68",1508.32337420924
"69",1512.80227255463
"70",1503.61119348581
"71",1493.32616246668
"72",1497.57363713802
"73",1522.65228068361
"74",1506.46867396978
"75",1518.90742407903
"76",1492.17696121382
"77",1519.54103335967
"78",1498.43187469637
"79",1479.49265099061
"80",1491.65136539037
"81",1477.81433996556
"82",1470.11214462307
"83",1514.64874446195
"84",1450.369752851
"85",1526.52433255972
"86",1529.86044614595
"87",1506.44507783732
"88",1499.18686073265
"89",1530.39020112476
"90",1490.87693921035
"91",1504.36057671663
"92",1517.32436602939
"93",1503.26109106518
"94",1497.93981599108
"95",1502.27098823173
"96",1492.59518130563
"97",1477.59928861821
"98",1495.36697442007
"99",1478.74574109712
"100",1497.40928020989
"101",1507.27933592674
"102",1511.51364070517
"103",1465.43502280113
"104",1493.19483602793
"105",1523.29689037428
"106",1501.75378009263
"107",1495.99211289107
"108",1494.07793306426
"109",1514.82648292441
"110",1488.87879392697
"111",1502.38498936566
"112",1496.76010769068
"113",1488.30887702105
"114",1508.54315187901
